#velocity    Tmb
#km/s         K
   -11.516    -0.051
   -11.594    -0.018
   -11.671    -0.016
   -11.749    -0.001
   -11.827     0.033
   -11.905     0.040
   -11.982    -0.000
   -12.060    -0.031
   -12.138     0.008
   -12.215     0.071
   -12.293     0.089
   -12.371     0.092
   -12.449     0.103
   -12.526     0.098
   -12.604     0.078
   -12.682     0.063
   -12.759     0.048
   -12.837     0.027
   -12.915     0.019
   -12.992     0.025
   -13.070     0.030
   -13.148     0.038
   -13.226     0.047
   -13.303     0.043
   -13.381     0.033
   -13.459     0.041
   -13.536     0.083
   -13.614     0.130
   -13.692     0.132
   -13.770     0.092
   -13.847     0.051
   -13.899     0.032
   -13.977     0.028
   -14.055     0.015
   -14.132    -0.016
   -14.210    -0.029
   -14.288    -0.013
   -14.365     0.020
   -14.443     0.066
   -14.521     0.074
   -14.599     0.009
   -14.676    -0.057
   -14.754    -0.048
   -14.832     0.009
   -14.909     0.046
   -14.987     0.048
   -15.065     0.019
   -15.142    -0.023
   -15.220    -0.033
   -15.298    -0.016
   -15.376    -0.005
   -15.453     0.005
   -15.531     0.019
   -15.609     0.035
   -15.686     0.058
   -15.764     0.059
   -15.842     0.026
   -15.920    -0.005
   -15.997    -0.015
   -16.075    -0.003
